Year,Round,Pick,Player,Position,NBA Team,Prev Team,Games Played,Games Started,Minutes,Points Per Game,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,DBoards,OBoards,Assists,Turnovers,Steals,Blocks,Fouls
2006,0,0,Doug Thomas,F,None,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Eric Williams,PF,None,Wake Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Charles Lee,G,None,Bucknell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,Jared Newson,G,None,Tennessee-Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,1,Andrew Bogut,C,MIL,Utah,671,651,29.1,10.03,8.23,4.4,0.534,0.04,0,0.12,2.22,1.23,0.556,8.91,6.35,2.55,2.27,1.75,0.65,1.59,3.17
2005,1,2,Marvin Williams,SF,ATL,North Carolina,861,674,28.9,10.59,8.58,3.8,0.443,2.38,0.84,0.353,2.66,2.14,0.807,5.32,4.05,1.27,1.31,1.02,0.77,0.52,2.07
2005,1,3,Deron Williams,PG,UTH,Illinois,845,771,34.2,16.34,12.98,5.77,0.445,3.9,1.39,0.357,4.14,3.41,0.822,3.1,2.68,0.42,8.07,2.84,1.03,0.24,2.52
2005,1,4,Chris Paul,PG,NOP,Wake Forest,834,834,35.5,18.72,13.93,6.59,0.473,3.23,1.2,0.37,5.02,4.35,0.866,4.42,3.74,0.68,9.89,2.43,2.29,0.11,2.46
2005,1,5,Raymond Felton,PG,CHA,North Carolina,856,657,31.6,11.85,10.83,4.47,0.413,2.95,0.96,0.327,2.47,1.95,0.788,3.13,2.52,0.61,5.66,2.24,1.27,0.22,2.04
2005,1,6,Martell Webster,SF,POR,Seattle Preparatory School (Washington),580,266,24,8.72,7,2.92,0.418,3.56,1.36,0.382,1.91,1.51,0.791,3.12,2.52,0.61,1.01,0.92,0.52,0.28,1.82
2005,1,7,Charlie Villanueva,F,TOR,Connecticut,656,164,20.7,10.38,9.29,4.04,0.435,3.2,1.09,0.341,1.56,1.2,0.772,4.6,3.39,1.21,0.84,0.99,0.5,0.53,2.21
2005,1,8,Channing Frye,FC,NYK,Arizona,801,438,23.4,9.23,7.9,3.48,0.44,3.13,1.22,0.389,1.29,1.06,0.822,4.76,3.83,0.94,1,0.94,0.54,0.65,2.67
2005,1,9,Ike Diogu,PF,GOS,Arizona State,225,18,12.4,5.99,4.26,2.17,0.509,0.01,0,0.5,2.1,1.65,0.786,3.06,1.84,1.22,0.31,0.89,0.16,0.29,1.89
